,,,,,,,,,,,,,,,
,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,新參者友善（Y/?）,專案三個關鍵字,專案徵人（專長）,坑主聯絡方式,youtube url: 專案報告,youtube url: 成果報告,slides url
14,10:19,y,Bess,y,零時小學校 Demo Day 徵件最後倒數 | StudyAtHome App 徵求日文翻譯小夥伴,"Sch001 CC BY 4.0
StayAtHomeApp MIT","https://sch001.g0v.tw/
https://g0v.hackmd.io/@jothon/StayAtHome_Taiwanese",https://docs.google.com/presentation/d/1vakktuB_wegXB4ruHBMLChSUu_UPSDxQK9oTk9zBrcU/edit?usp=sharing,Y,"教育,識字,日文","一起來提案
一起給提案意見
一起想有沒有更多教育的可能性
一起來翻譯日文",g0v Slack #edu / @bess,,,https://docs.google.com/presentation/d/1vakktuB_wegXB4ruHBMLChSUu_UPSDxQK9oTk9zBrcU/edit?usp=sharing
15,10:22,,bil,y,Cofacts 真的假的,"程式 MIT
文字 CC0",https://cofacts.g0v.tw/hack,https://docs.google.com/presentation/d/1YZyn6mWMD-X9c1ijheDqZLKbMmHxkzLQXhKLGh4BQxI/edit,super friendly❤️translation provided,"crowd sourcing, fact-checking, chatbot","Node.js, React.js engineers, data scientists, 願意回應網路訊息的人、chatbot愛好者、少女、喜歡上網的人","g0v slack: #cofacts channel , g0v slack @mrorz , @bil",https://youtu.be/WONH8IgJJ1I,,https://docs.google.com/presentation/d/1YZyn6mWMD-X9c1ijheDqZLKbMmHxkzLQXhKLGh4BQxI/edit
16,10:25,,Zuyi、okcool,y,Ptt 不能亡：社群機制重構與降低使用者進入門檻,cc-by,https://g0v.hackpad.tw/Ptt--ctwZwU7BxcJ,https://docs.google.com/presentation/d/1Sq7s1-lCaFA9tl06ufZ5GrFIhMyyKyzDl1NJKWKa_Aw/edit?usp=sharing,Y，有使用過沒使用過Ptt的都歡迎，我們需要你,沒有人要上Ptt、社群運作機制、簡單操作Ptt,ASP.net core、C#、App測試者，以及有興趣提供Ptt怎麼進化的的各領域大大,g0v slack #ptt channelg0v slack @okcool,,,https://docs.google.com/presentation/d/1Sq7s1-lCaFA9tl06ufZ5GrFIhMyyKyzDl1NJKWKa_Aw/edit?usp=sharing
17,10:28,,Elley,y,飛行傘計劃 台灣啟動- 一起協助在台港人翱翔,cc-by,https://docs.google.com/document/d/1ZeVjrt9_8IS7QBtz3kkJezjHv25_pHXm8p3gCuUKukk/edit#heading=h.glzyx75ftbj1,https://docs.google.com/document/d/1ZeVjrt9_8IS7QBtz3kkJezjHv25_pHXm8p3gCuUKukk/edit#heading=h.glzyx75ftbj1,Ｙ,"香港 
人道救濟 
反送中","BD- 一起開創更多工作機會給港人
心理諮詢專業- 提供抗爭創傷後遺症港人專業的心理諮詢
法律專業- 協助visa辦理、政治庇護申請 
","g0v slack #hkpwparagliding @GaryHUang @
ElleyHung ",,,https://docs.google.com/presentation/d/1zjlgFw4-gTN6_Pjd8uXgc5jSFDKsY6IObRYJU9bM7KU/edit?usp=sharing
18,10:31,,小蟹,y,阿美語萌典,CC0 1.0,,https://amis.moedict.tw/,Ｙ,原住民族、阿美語、萌典,"對原住民有興趣的人、
（新手超友善）用肉眼比對文字、
前端工程師",g0v slack #amis,,,https://docs.google.com/presentation/d/1qte_iIE4DMJOo6hNmWjXnAX5I0nyTUDqQJKkfEYZcEo/edit?usp=sharing
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,上台開放 18 位 3 分鐘,,== 截止 ==,,,,,,,,,,,,
,以下開放候補席,,上台名額已滿，但是下面可以留言用文字提案，歡迎在現場尋找坑主。,,,,,,,,,,,,
,沒搶到 #2,,slc,Y,兼顧隱私的防疫新生活,CC0,https://g0v.hackmd.io/_G-7cclsQGenOvP8CJe2gQ,, Y ,個資、防疫新生活、實聯制,募集防疫新生活的實聯制經驗、各類場館或營業場所蒐集個資做法。在地圖上用紅黃綠燈號或其他方式標示各類場所遵守實聯制規範的情況。地圖回報系統。做幫助場館可以容易遵守指揮中心實聯制指引的工具或懶人包。,g0v slack @slc,,,
,沒搶到 #3,,A-Han,Y,開放政大,,https://hackmd.io/cfFDDZP6StWnM8BkMgV0Ow,https://docs.google.com/presentation/d/1ZU7rJQ8o8FwybkVGNmhNzwK-_1vZTKHWaCIBhQ4kJcg/edit?usp=sharing,Y,會議資料開放、即時校務會議開放、成立政大開放社群與經營,,g0v slack #a-han,,,
,沒搶到 #4,,tmonk,Y,識字題庫,CC0,https://beta.hackfoldr.org/lp-db,,Y,識字量、題庫、眾包,"前/後端工程師
熟悉文字著作權者
會查網站資料的人",slack @tmonk,,,
,沒搶到 #5,,gavin,y,"sky無人機大小事/(上午一推人了報,有興趣下午05:15聽吧)",CC BY-NC 2.0 TW,https://g0v.hackmd.io/s/SkVj6gFlD,https://bit.ly/2OVR8LO,y,無人機、報名、歡迎找bug,,https://bre.is/fT5F99vN,,,
,沒搶到 #6,,,,,,,,,,,,,,
,沒搶到 #1,,irvin,Y,"CC0 中文句庫 / 統計工具
Common Voice 語音庫",CC0,slack #rand0m,"https://github.com/irvin/cc0-sentences
https://github.com/irvin/voice-text-tools
http://voice.mozilla.org
https://hackmd.io/@moztw-cv/cc0-corpus-sch001-demo-day",Y,中文句庫、錄音、語音辨識,"- 程式：寫 node.js script 進行統計與分析，比對教育部常用國字表；串接 github CI，commit 後自動跑統計數字更新

- 打字：把各 cc0 來源文本（例如 #rand0m 聊天記錄、或樓上 cofact 的文字）拆成一句一句放進句庫","- g0v slack #random & @irvin
- telegram t.me/irvin ",,,
,,,,,,,,,,,,,,,
,莫急莫慌,,有排有機會,,欸有沒有候補要上！,,上面可以自己加行,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"14:30【8 分鐘短講報名】
每個 present 8min，分享議題、專案、研究、技術皆可。",,,,,,,,,,,,,,,
順序,發表時間（自填）,完成,發表者,錄影以 CC-BY 釋出?,主題,,,相關連結,,三個關鍵字,專案徵人,坑主聯絡方式,,,
1,14:30,,誠致（林慧萍老師）,y,偏鄉學童識字量,CC BY,https://drive.google.com/file/d/1fOVYHhhCpEIuqHk4e_-PnPelGanaXraL/view?usp=sharing,https://drive.google.com/file/d/1j_t2BXnst0tg5WdUDWKu9BAftCelc7Wl/view?usp=sharing,Y,"教育,偏鄉,識字",有想法就到零時小學校提案吧,g0v Slack #edu,,,
2,14:40,,,,,,,,,,,,,,
3,14:50,,葦,y,島島阿學 -教育資源共享 知識屬於所有人,CC-BY-NC,Slack - 島島阿學,零時小學校- 提案連結,YES !,"教育,共享,社群","- 前後端工程師
- 相關領域工作者
- 和你我一樣的普通人","- g0v slack : #edu @Snow
- e-mail : kiwi072400.lin@gmail.com",,,
4,15:00,,irvin,Y,eid 晶片身份證 & Mozilla 數位身份白皮書,CC BY-SA,Slack #eid,"http://eid.tw | 
https://mzl.la/2VOVtEV",d,"政策,身分,隱私","- 閱讀白皮書，比對政府現行規劃，整理相對意見
- 幫忙準備發布 & 宣傳","- g0v slack @irvin
- telegram t.me/irvin",,,
,,,,,,,,,,,,,,,
,開放 4 位 8 分鐘,,== 截止 ==,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"17:00【present project】 規則：於 106-7 會議室舉行
每個 present 5min，可視 project 數量和剩餘時間調整。",,,,,,,,,,,,,,,
1,17:00,,deeper,,Disfactory,MIT,https://g0v.hackmd.io/@yukaii/Disfactory,https://docs.google.com/presentation/d/1qB6NfK6ia36nReC8NAjD2Iggu3KN-ZwpkFEVtJKEgwM/edit?usp=sharing,Y,違章工廠、crowdsourcing、gis,"UX designer, researcher",-g0v slack #disfactory @deeper,,,
2,17:05,,Lafin,,阿美語萌典,CC0 1.0,,https://amis.moedict.tw/,Ｙ,原住民族、阿美語、萌典,"對原住民有興趣的人、
（新手超友善）用肉眼比對文字、
前端工程師",g0v slack #amis,,,https://docs.google.com/presentation/d/1qte_iIE4DMJOo6hNmWjXnAX5I0nyTUDqQJKkfEYZcEo/edit?usp=sharing
3,17:10,,Bess,,StudyAtHome App 日文翻完了！現在需要英文！,MIT,https://g0v.hackmd.io/@jothon/StayAtHome_Taiwanese,https://g0v.hackmd.io/@jothon/StayAtHome_Taiwanese,Y,"教育,自學,英文翻譯",喜歡日翻英或中翻英的人,g0v Slack #edu,,,
4,17:15,,gavin,,sky無人機大小事,CC BY-NC 2.0 TW,https://g0v.hackmd.io/s/SkVj6gFlD,https://bit.ly/2OVR8LO,,,,,,,
5,17:20,,MrOrz,Y,Cofacts 真的假的,"程式 MIT
文字 CC0",https://cofacts.g0v.tw/hack,https://docs.google.com/presentation/d/1YZyn6mWMD-X9c1ijheDqZLKbMmHxkzLQXhKLGh4BQxI/edit,super friendly❤️translation provided,"crowd sourcing, fact-checking, chatbot","Node.js, React.js engineers, data scientists, 願意回應網路訊息的人、chatbot愛好者、少女、喜歡上網的人","g0v slack: #cofacts channel , g0v slack @mrorz , @bil",https://youtu.be/WONH8IgJJ1I,,https://docs.google.com/presentation/d/1YZyn6mWMD-X9c1ijheDqZLKbMmHxkzLQXhKLGh4BQxI/edit
6,17:25,,Ronny,Y,開放國會 & 其他立院開放相關,CC0,https://g0v.hackmd.io/xG9eeQqBQXGJ0oOyTQfQ9A,https://ronnywang.github.io/twlawlog/,,,,,,,
7,17:30,,Gary & Elley,,飛行傘計畫, CC-BY,https://docs.google.com/document/d/1ZeVjrt9_8IS7QBtz3kkJezjHv25_pHXm8p3gCuUKukk/edit#,https://docs.google.com/document/d/1ZeVjrt9_8IS7QBtz3kkJezjHv25_pHXm8p3gCuUKukk/edit#,y,"香港 
人道救濟 
反送中","BD- 一起開創更多工作機會給港人
心理諮詢專業- 提供抗爭創傷後遺症港人專業的心理諮詢
法律專業- 協助visa辦理、政治庇護申請 
","g0v slack #hkpwparagliding @GaryHUang @
ElleyHung ",,,https://docs.google.com/presentation/d/1zjlgFw4-gTN6_Pjd8uXgc5jSFDKsY6IObRYJU9bM7KU/edit#slide=id.g8cba832f16_0_0
8,17:35,,Afra,,Herstory：台日韓港女權運動紀錄,CC-BY,https://g0v.hackmd.io/EYSWYz8ZRB2oN6RHrVNf5g?both,https://docs.google.com/presentation/d/1ooVn0o8t9TvCRjXsG1iikZ1s2iS4Qxfr0hsuHjY8P5c/edit?usp=sharing,y,"女權, 韓語, 日語",對性別議題有興趣的人、通曉韓語或日語或英語的人、UI設計、前端工程師、繪圖,,,,
9,17:40,,irvin,,cc0 句庫,CC0,#rand0m,"比對句庫 & 常用字表
https://github.com/irvin/voice-text-tools/commit/74c06db9b4592fc842a8403767eb35d59345e685",Y,中文句庫、錄音、語音辨識,"- 程式：寫 node.js script 進行統計與分析，比對教育部常用國字表

- 打字：把 2020 就職演說 & 其他 cc0 來源文本（例如 #rand0m 聊天記錄、或樓上 cofact 的文字）拆成一句一句放進句庫","- g0v slack #random & @irvin
- telegram t.me/irvin ",,,
10,17:45,,ipa,,Piratgene eID 藝術展,CC-BY,https://g0v.hackmd.io/lGXyoMltTfaNdq88veb9mA?view,,Y,藝術、數位人權、遊戲,,,,,
11,17:50,,BarryYu ,,免費垃圾美景照片-社群平台-,BarryYu,,https://i.ibb.co/hVT1mnt/Screen-Shot-2020-07-24-at-9-24-35-AM.png,,"意識 , 志願者 , 榮耀感","開發流程, 社群平台 ,  行銷idea


",,,,
12,17:55,,ddio,Y,一起打造永續的租屋社群 - Rentea 之合作租屋,cc-by,https://g0v.hackmd.io/9t6zkLjDSBmLKuMUHWSBXA,https://g0v.hackmd.io/9t6zkLjDSBmLKuMUHWSBXA#%E6%88%90%E6%9E%9C%E5%88%86%E6%9E%90,Y,租屋、合作住宅、合作經濟,"- 現在或曾經租過房子的人
- 想建立租屋者友善服務的人
- 房東！",g0v slack #rentea,,,https://docs.google.com/presentation/d/1dauoFusJ5gqlVEl7w4ggB-JH-W9nMBiLKjjh7p2Yw_A
13,18:00,,"chewei, moogoo",,好植地,cc-by,https://bit.ly/tree-taiwan-sites,https://bit.ly/0726-PPT-patch-by-planting,Y,找地、種樹、網頁參考: https://livinglotsnyc.org,,,,,
